4,3,0,0,3,0,0,0.4,3,0
8,0,0,3,2.4,0,1.4,0,0,3
11,0,3,0,1.4,2.4,0,0,2,1
14,0,0,3,2,1.4,0,0.4,1,2
19,3,0,0,1.8,0,0,2.4,3,0
20,0,3,0,1,1.8,0,1,2,1
24,0,3,0,1,2.4,0,0,2,1
27,0,3,0,3,0,0,0,0,3
51,0,3,0,3,0.4,0.4,0,3,0
53,3,0,0,1,1.4,0,1.8,3,0
54,3,0,0,0,3,0,0.4,3,0
56,3,0,0,3,0.4,0,0.4,3,0
61,3,0,0,2,1,0,0.4,3,0
64,0,3,0,2,1,0,0,3,0
67,0,3,0,1,1.4,0,0,2,1
70,0,3,0,2,1.8,0.4,0,1,2
71,3,0,0,3,0,0,0.4,3,0
73,3,0,0,3,0,0,1.2,3,0
80,3,0,0,1,0.8,0,2.4,3,0
81,3,0,0,3,0.4,0.4,0.4,3,0
87,0,3,0,0.4,2,1,0,1,2
90,0,3,0,3,0,0,0,3,0
92,0,3,0,3,0,0,0,2,1
94,3,0,0,0,1.8,0,2.4,3,0
95,3,0,0,3,0,0,0,2,1
97,0,0,3,3,0,0.4,0,0,3
98,0,3,0,0.4,1.4,2,0,0,3
100,3,0,0,3,0,0,0.4,2,1
113,0,3,0,2.4,0,1.8,0,0,3
114,0,3,0,2.4,1.8,0,0,2,1
117,3,0,0,1,2,0,0.4,3,0
124,0,3,0,0.8,3,0,0,1,2
125,0,3,0,3,0,0,0.4,2,1
130,0,3,0,0,3,1.2,0,2,1
133,0,0,3,2.4,1,0,0,0,3
141,0,0,3,2,1.4,0,0,1,2
143,3,0,0,0,3,0,0.4,3,0
145,0,0,3,3,0.4,0,0,1,2
148,3,0,0,1,2,0,0.4,3,0
155,0,3,0,0,3,0.4,0,1,2
162,3,0,0,3,0,0,0.4,2,1
163,0,3,0,1,2,0,0,2,1
165,3,0,0,3,0,0,0.4,3,0
166,3,0,0,0,1.8,0,2.4,3,0
167,0,3,0,2,1,0,0,2,1
169,0,3,0,1,2.4,0,0,2,1
177,3,0,0,3,0,0,0,1,2
178,3,0,0,2,0.4,0,1.4,3,0
180,0,0,3,3,0.4,0.4,0,2,1
181,0,3,0,1,2.4,0.4,0,1,2
183,3,0,0,3,0,0,0.4,3,0
184,0,3,0,3,0.4,0,0.4,2,1
185,0,3,0,3,0.8,0,0.4,1,2
192,3,0,0,0,2.4,1.8,0,3,0
194,0,3,0,3,0,0,0,0,3
204,0,3,0,1,2.4,0,0,2,1
205,3,0,0,2.4,1.4,0,0,2,1
208,0,3,0,2,1,0.4,0,1,2
210,0,3,0,2,1,0,0,3,0
214,0,3,0,0.8,1,2,0,1,2
231,0,3,0,2.4,0,1.8,0,0,3
238,0,3,0,1,2,0,0.4,3,0
239,3,0,0,0,1.4,1,1,3,0
243,0,3,0,2,1,0,0,2,1
246,3,0,0,2,1,0,0.4,3,0
250,0,0,3,3,0.4,0,0,1,2
256,0,3,0,3,0.4,0.4,0,0,3
261,3,0,0,3,0,0,0.8,2,1
268,0,0,3,2,0,1.4,0,0,3
269,3,0,0,3,0,0,0.4,3,0
273,3,0,0,3,0.4,0,0,0,3
274,0,3,0,0.8,3,0,0,1,2
281,3,0,0,1,0,0,2,3,0
294,3,0,0,3,0,0.4,0,3,0
304,0,3,0,3,0,0.4,0.4,3,0
306,3,0,0,2.4,1.8,0,0,3,0
308,3,0,0,1,0,0,2.4,3,0
309,0,3,0,3,0,0,0.4,2,1
312,0,3,0,1,2,0,0,2,1
317,0,3,0,2,1.4,0,0,1,2
320,0,3,0,1.8,1,0,1,2,1
323,3,0,0,0,2,0,1,3,0
324,3,0,0,1.4,0,0,2.4,3,0
332,0,3,0,2,0,0,1,2,1
336,3,0,0,3,0,0,0,3,0
337,3,0,0,3,0,0,0,3,0
341,0,3,0,2,0,0,0,0,2
342,0,0,3,1,2.4,0,0,2,1
347,0,3,0,2.4,1.4,0,0,3,0
356,3,0,0,3,0.4,0,0,2,1
358,3,0,0,2,1,0.4,0,3,0
364,3,0,0,0,1.8,0,2,3,0
369,3,0,0,0,0,0,3,3,0
370,0,3,0,0,3,1.2,0,3,0
376,0,3,0,2,1,0,0,0,3
377,3,0,0,0,2,1.8,0,3,0
380,3,0,0,0,1.8,0,2.4,3,0
391,0,3,0,3,0.4,0,0,0,3
398,3,0,0,3,0.4,0,0,3,0
402,3,0,0,2.4,0,0,2.4,3,0
411,3,0,0,2,0,0,1.8,3,0
413,0,3,0,2.4,0,1.8,0,2,1
417,0,3,0,3,0.4,0,0,2,1
424,3,0,0,0,1.8,0,2.4,3,0
